         838171 function calls (837880 primitive calls) in 155.895 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       18    0.000    0.000    0.000    0.000 synchronize.py:219(__getstate__)
       18    0.000    0.000    0.000    0.000 queues.py:301(__getstate__)
       18    0.000    0.000    0.000    0.000 queues.py:57(__getstate__)
       18    0.000    0.000    0.000    0.000 spawn.py:90(<genexpr>)
       18    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 popen_spawn_win32.py:118(poll)
       14    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       13    0.000    0.000    0.000    0.000 _parser.py:231(__next)
       12    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       12    0.000    0.000    0.000    0.000 context.py:80(Semaphore)
       12    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
       12    0.000    0.000    0.000    0.000 context.py:368(set_spawning_popen)
       12    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       12    0.000    0.000    0.000    0.000 process.py:37(current_process)
       12    0.000    0.000    0.004    0.000 reduction.py:58(dump)
       12    0.000    0.000    0.000    0.000 process.py:350(__reduce__)
       12    0.000    0.000    0.000    0.000 synchronize.py:125(__init__)
       12    0.000    0.000    0.000    0.000 spawn.py:43(get_executable)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       12    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       12    0.001    0.000    0.004    0.000 {method 'dump' of '_pickle.Pickler' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       11    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 _parser.py:252(get)
       10    0.000    0.000    0.000    0.000 util.py:186(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        9    0.000    0.000    0.000    0.000 context.py:237(get_context)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        8    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.000    0.000 _parser.py:170(append)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        6    0.000    0.000    0.166    0.028 context.py:222(_Popen)
        6    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        6    0.000    0.000    0.000    0.000 glob.py:222(has_magic)
        6    0.000    0.000    1.467    0.245 process.py:142(join)
        6    0.000    0.000    0.166    0.028 context.py:333(_Popen)
        6    0.000    0.000    0.000    0.000 process.py:213(authkey)
        6    0.000    0.000    0.000    0.000 context.py:253(get_start_method)
        6    0.000    0.000    0.000    0.000 process.py:189(name)
        6    0.000    0.000    0.166    0.028 process.py:110(start)
        6    0.000    0.000    0.000    0.000 process.py:80(__init__)
        6    0.000    0.000    0.000    0.000 _parser.py:247(match)
        6    0.000    0.000    0.000    0.000 subprocess.py:290(_optim_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
        6    0.000    0.000    0.163    0.027 popen_spawn_win32.py:44(__init__)
        6    0.000    0.000    0.000    0.000 spawn.py:154(get_preparation_data)
        6    0.000    0.000    0.000    0.000 spawn.py:81(get_command_line)
        6    0.000    0.000    0.000    0.000 spawn.py:136(_check_not_importing_main)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:538(normpath)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        6    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        6    0.158    0.026    0.158    0.026 {built-in method _winapi.CreateProcess}
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        6    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        6    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        5    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        5    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
        5    0.000    0.000    0.000    0.000 transforms_interface.py:80(__init__)
      5/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1209(_handle_fromlist)
      5/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        5    0.000    0.000    0.000    0.000 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:253(escape)
        4    0.000    0.000    0.000    0.000 threading.py:568(is_set)
        4    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        3    0.000    0.000    0.000    0.000 context.py:65(Lock)
        3    0.000    0.000    0.000    0.000 context.py:70(RLock)
        3    0.000    0.000    0.001    0.000 context.py:75(Condition)
        3    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
        3    0.000    0.000    0.002    0.001 context.py:105(JoinableQueue)
        3    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        3    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      3/1    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
      3/1    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        3    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        3    0.000    0.000    0.000    0.000 tempfile.py:384(mktemp)
        3    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
